antibody,gene_name,category,marker
CD127,IL7R,CyTOF,CD127
CD25,IL2RA,CyTOF,CD25
CD137,TNFRSF9,CyTOF,CD137
CXCR5,CXCR5,CyTOF,CXCR5
CXCR4,CXCR4,CyTOF,CXCR4
ICOS,ICOS,CyTOF,ICOS
CD39,ENTPD1,CyTOF,CD39
PD-1,PDCD1,CyTOF,PD_1
CD27,CD27,CyTOF,CD27
KLRG1,KLRG1,CyTOF,KLRG1
CD161,KLRB1,CyTOF,CD161
CD38,CD38,CyTOF,CD38
CD28,CD28,CyTOF,CD28
CXCR3,CXCR3,CyTOF,CXCR3
OX40,TNFRSF4,CyTOF,OX40
CD73,NT5E,CyTOF,CD73
CD57,B3GAT1,CyTOF,CD57
CD49d,ITGA4,CyTOF,CD49d
Integrin-b7,ITGB7,CyTOF,Integrin_b7
HLA-DR,HLA-DRA,CyTOF,HLA_DR
CCR4,CCR4,CyTOF,CCR4
CCR5,CCR5,CyTOF,CCR5
CCR6,CCR6,CyTOF,CCR6
CCR7,CCR7,CyTOF,CCR7
CD45RA,PTPRC,CyTOF,CD45RA
CD62L,SELL,CyTOF,CD62L
CD69,CD69,CyTOF,CD69
CTLA-4,CTLA4,CyTOF,CTLA_4
